Location,Year, Net earnings by place of residence(Thousands of dollars), Personal current transfer receipts(Thousands of dollars),  Income maintenance benefits 1/(Thousands of dollars),  Unemployment insurance compensation(Thousands of dollars),  Retirement and other(Thousands of dollars)," Dividends, interest, and rent 2/(Thousands of dollars)", Population (persons) 3/(Number of persons), Per capita personal income 4/(Dollars), Per capita net earnings 4/(Dollars), Per capita personal current transfer receipts 4/(Dollars),  Per capita income maintenance benefits 4/(Dollars),  Per capita unemployment insurance compensation 4/(Dollars),  Per capita retirement and other 4/(Dollars)," Per capita dividends, interest, and rent 4/(Dollars)", Earnings by place of work(Thousands of dollars),  Wages and salaries(Thousands of dollars),  Supplements to wages and salaries(Thousands of dollars),   Employer contributions for employee pension and insurance funds 5/(Thousands of dollars),   Employer contributions for government social insurance(Thousands of dollars),  Proprietors' income(Thousands of dollars),   Farm proprietors' income(Thousands of dollars),   Nonfarm proprietors' income(Thousands of dollars),Total employment (number of jobs)(Number of jobs), Wage and salary employment(Number of jobs), Proprietors employment(Number of jobs),  Farm proprietors employment 6/(Number of jobs),  Nonfarm proprietors employment(Number of jobs),Average earnings per job (dollars)(Dollars), Average wages and salaries(Dollars), Average nonfarm proprietors' income(Dollars)
"Angelina, TX",2001,1208084,367525,34357,6629,326539,328077,80273,23715,15050,4578,428,83,4068,4087,1410715,1005670,226261,156824,69437,178784,5702,173082,45279,37510,7769,967,6802,31156,26811,25446
"Angelina, TX",2002,1243683,401729,41272,11058,349399,313983,80803,24249,15392,4972,511,137,4324,3886,1439557,1011305,236411,167565,68846,191841,6901,184940,45313,37406,7907,908,6999,31769,27036,26424
"Angelina, TX",2003,1290815,433073,47089,10690,375294,312656,81510,24985,15836,5313,578,131,4604,3836,1495570,1047359,258797,182312,76485,189414,6165,183249,45508,37601,7907,916,6991,32864,27855,26212
"Angelina, TX",2004,1357632,456691,50301,7293,399097,297946,82070,25737,16542,5565,613,89,4863,3630,1571361,1120461,269495,188298,81197,181405,5188,176217,46310,37972,8338,913,7425,33931,29508,23733
"Angelina, TX",2005,1395134,497516,58146,4917,434453,314246,82553,26733,16900,6027,704,60,5263,3807,1609069,1159628,281191,197943,83248,168250,3,168247,46453,37814,8639,939,7700,34639,30667,21850
"Angelina, TX",2006,1483929,530496,58031,4025,468440,346468,83810,28170,17706,6330,692,48,5589,4134,1697264,1234120,293936,208775,85161,169208,-1444,170652,47914,38956,8958,938,8020,35423,31680,21278
"Angelina, TX",2007,1542807,577099,60167,4264,512668,393445,84518,29737,18254,6828,712,50,6066,4655,1751524,1290274,295016,208504,86512,166234,519,165715,48390,39219,9171,1022,8149,36196,32899,20336
"Angelina, TX",2008,1589495,633009,68525,6469,558015,435490,84961,31285,18709,7451,807,76,6568,5126,1789111,1317763,293054,206117,86937,178294,-7465,185759,47990,38598,9392,994,8398,37281,34141,22119
"Angelina, TX",2009,1528570,694239,77562,22367,594310,400580,86029,30494,17768,8070,902,260,6908,4656,1737924,1257805,296855,211814,85041,183264,-6125,189389,46537,37005,9532,971,8561,37345,33990,22122
"Angelina, TX",2010,1578179,755866,86359,22791,646716,387347,86903,31315,18160,8698,994,262,7442,4457,1809056,1279749,312860,222347,90513,216447,2801,213646,46238,36879,9359,953,8406,39125,34701,25416
"Angelina, TX",2011,1704516,772470,87046,17290,668134,427046,87282,33272,19529,8850,997,198,7655,4893,1951681,1387758,316481,219212,97269,247442,-3747,251189,47150,37355,9795,932,8863,41393,37151,28341
"Angelina, TX",2012,1822257,768135,86488,14476,667171,490684,87496,35214,20827,8779,988,165,7625,5608,2111933,1508799,334094,231004,103090,269040,1828,267212,47441,37930,9511,898,8613,44517,39779,31024
"Angelina, TX",2013,1763184,794800,86246,11054,697500,477388,87365,34744,20182,9097,987,127,7984,5464,2074384,1432948,344434,244845,99589,297002,8267,288735,47928,38029,9899,901,8998,43281,37680,32089
"Angelina, TX",2014,1918909,824539,86496,7208,730835,521726,87601,37273,21905,9412,987,82,8343,5956,2245707,1483769,354071,252207,101864,407867,9333,398534,48624,38517,10107,891,9216,46185,38522,43244
"Angelina, TX",2015,1912367,866742,85402,11725,769615,572782,87901,38133,21756,9860,972,133,8755,6516,2253403,1503035,364339,260261,104078,386029,15174,370855,48701,38418,10283,870,9413,46270,39123,39398
"Angelina, TX",2016,1799413,911581,86958,11635,812988,581279,87830,37485,20487,10379,990,132,9256,6618,2129716,1458928,353567,251509,102058,317221,5065,312156,48239,37681,10558,867,9691,44149,38718,32211
"Angelina, TX",2017,1766522,922211,88143,7774,826294,608820,87805,37555,20119,10503,1004,89,9411,6934,2103179,1478601,359378,255207,104171,265200,7829,257371,48183,37413,10770,862,9908,43650,39521,25976
"Aransas, TX",2001,309474,111563,9602,1928,100033,137286,22287,25052,13886,5006,431,87,4488,6160,211119,133810,29893,20884,9009,47416,-1598,49014,9192,6068,3124,65,3059,22968,22052,16023
"Aransas, TX",2002,313713,119104,10297,2591,106216,133606,22616,25045,13871,5266,455,115,4696,5908,211688,131367,30309,21371,8938,50012,-2200,52212,9120,5938,3182,62,3120,23211,22123,16735
"Aransas, TX",2003,324612,130047,11353,3248,115446,131478,22843,25659,14211,5693,497,142,5054,5756,228479,141042,33677,23522,10155,53760,-2024,55784,9421,6138,3283,64,3219,24252,22978,17330
"Aransas, TX",2004,343155,142006,12414,2602,126990,149959,23067,27534,14876,6156,538,113,5505,6501,251358,148524,36458,25717,10741,66376,-1825,68201,9585,6161,3424,68,3356,26224,24107,20322
"Aransas, TX",2005,363165,159307,13804,1418,144085,174328,23561,29574,15414,6761,586,60,6115,7399,266466,158057,37394,26072,11322,71015,-1764,72779,9885,6334,3551,72,3479,26957,24954,20920
"Aransas, TX",2006,388679,174003,13718,1156,159129,182642,23395,31858,16614,7438,586,49,6802,7807,301048,182443,43387,31053,12334,75218,-1768,76986,10436,6740,3696,75,3621,28847,27069,21261
"Aransas, TX",2007,391533,188006,13820,1147,173039,205631,23172,33884,16897,8113,596,49,7468,8874,295452,187401,41809,29077,12732,66242,-1209,67451,10527,6601,3926,83,3843,28066,28390,17552
"Aransas, TX",2008,408806,208342,15720,1784,190838,214901,23225,35826,17602,8971,677,77,8217,9253,309289,196210,41434,28410,13024,71645,-1606,73251,10688,6723,3965,85,3880,28938,29185,18879
"Aransas, TX",2009,397941,223338,18581,5320,199437,198285,23291,35188,17086,9589,798,228,8563,8513,291569,186034,42608,30114,12494,62927,-1464,64391,10295,6398,3897,86,3811,28321,29077,16896
"Aransas, TX",2010,432000,241574,20247,6343,214984,195928,23181,37509,18636,10421,873,274,9274,8452,316044,192419,44468,30813,13655,79157,-1841,80998,10363,6423,3940,88,3852,30497,29958,21028
"Aransas, TX",2011,470489,254408,20260,4889,229259,212071,23228,40338,20255,10953,872,210,9870,9130,343324,199567,44321,30187,14134,99436,-2011,101447,10368,6354,4014,89,3925,33114,31408,25846
"Aransas, TX",2012,531306,253788,19548,3610,230630,254485,23462,44309,22645,10817,833,154,9830,10847,374364,215523,48986,33552,15434,109855,-1960,111815,10742,6673,4069,90,3979,34850,32298,28101
"Aransas, TX",2013,557147,259763,19725,2943,237095,264606,23897,45257,23315,10870,825,123,9922,11073,387428,231410,52891,36697,16194,103127,-2047,105174,11231,7005,4226,91,4135,34496,33035,25435
"Aransas, TX",2014,601900,271036,19651,1897,249488,270119,24581,46502,24486,11026,799,77,10150,10989,402897,246705,55410,38337,17073,100782,-1889,102671,11252,7020,4232,90,4142,35807,35143,24788
"Aransas, TX",2015,604441,286488,19368,2481,264639,282495,24834,47251,24339,11536,780,100,10656,11375,399743,253417,58443,41061,17382,87883,-1981,89864,11410,7146,4264,88,4176,35034,35463,21519
"Aransas, TX",2016,549549,300952,19648,2942,278362,257167,25275,43825,21743,11907,777,116,11013,10175,390088,252155,57725,40056,17669,80208,-1967,82175,11232,7189,4043,88,3955,34730,35075,20777
"Aransas, TX",2017,564089,312792,23618,2921,286253,269257,25572,44820,22059,12232,924,114,11194,10529,369548,236501,55631,39018,16613,77416,-2215,79631,10767,6633,4134,87,4047,34322,35655,19677
"Baldwin, AL",2001,2436262,590585,35629,8405,546551,902088,144875,27119,16816,4077,246,58,3773,6227,1818931,1257443,284992,189849,95143,276496,-749,277245,70661,53718,16943,1114,15829,25742,23408,17515
"Baldwin, AL",2002,2524313,650570,41261,11333,597976,879480,147957,27402,17061,4397,279,77,4042,5944,1925758,1326833,303810,203037,100773,295115,-8034,303149,71892,54511,17381,987,16394,26787,24341,18491
"Baldwin, AL",2003,2670561,710069,46368,11190,652511,869172,151509,28050,17626,4687,306,74,4307,5737,2063918,1409883,331945,224050,107895,322090,6538,315552,73844,56178,17666,949,16717,27950,25097,18876
"Baldwin, AL",2004,2905467,782483,59792,8491,714200,1052904,156266,30338,18593,5007,383,54,4570,6738,2283876,1539467,371261,254605,116656,373148,4978,368170,77691,58567,19124,908,18216,29397,26286,20211
"Baldwin, AL",2005,3214283,848385,60698,7448,780239,1174494,162183,32292,19819,5231,374,46,4811,7242,2585394,1709193,408463,278599,129864,467738,-3504,471242,82612,61348,21264,896,20368,31296,27861,23136
"Baldwin, AL",2006,3548105,928616,58233,6570,863813,1371159,168121,34784,21104,5523,346,39,5138,8156,2905157,1914891,426787,285847,140940,563479,3095,560384,87768,64775,22993,870,22123,33100,29562,25330
"Baldwin, AL",2007,3705193,1007781,67102,7092,933587,1502362,172404,36051,21491,5845,389,41,5415,8714,3010367,2067299,457381,305848,151533,485687,-1564,487251,92728,68195,24533,979,23554,32464,30315,20687
"Baldwin, AL",2008,3662845,1141954,70757,11210,1059987,1481240,175827,35751,20832,6495,402,64,6029,8424,2871664,2113709,471021,315696,155325,286934,-5250,292184,92684,68177,24507,948,23559,30983,31003,12402
"Baldwin, AL",2009,3625210,1255988,92244,34628,1129116,1343769,179406,34698,20207,7001,514,193,6294,7490,2721074,1999571,478837,330994,147843,242666,945,241721,89324,64680,24644,922,23722,30463,30915,10190
"Baldwin, AL",2010,3814502,1441178,109557,40737,1290884,1387883,183110,36282,20832,7871,598,222,7050,7580,2799688,2000662,487721,332314,155407,311305,-8550,319855,89246,63795,25451,906,24545,31370,31361,13031
"Baldwin, AL",2011,4109280,1484827,114978,32134,1337715,1457559,186534,37804,22030,7960,616,172,7171,7814,2907152,2060271,499507,337777,161730,347374,-3372,350746,92000,65394,26606,881,25725,31599,31506,13634
"Baldwin, AL",2012,4248007,1503447,118105,22696,1362646,1502006,190048,38166,22352,7911,621,119,7170,7903,3017308,2128293,480480,316018,164462,408535,122,408413,93226,66218,27008,833,26175,32366,32141,15603
"Baldwin, AL",2013,4385815,1572417,123562,15802,1433053,1483086,194736,38212,22522,8075,635,81,7359,7616,3234413,2239598,510208,338056,172152,484607,26002,458605,96471,68352,28119,846,27273,33527,32766,16815
"Baldwin, AL",2014,4602407,1670285,126945,9254,1534086,1602542,199064,39561,23120,8391,638,46,7706,8050,3430467,2368668,548311,368769,179542,513488,3654,509834,99837,70747,29090,845,28245,34361,33481,18050
"Baldwin, AL",2015,4911148,1768065,125954,8158,1633953,1721651,202863,41412,24209,8716,621,40,8054,8487,3665610,2531374,594097,403569,190528,540139,-2105,542244,103943,73835,30108,842,29266,35266,34284,18528
"Baldwin, AL",2016,5272315,1868304,126762,8052,1733490,1783054,207509,43004,25408,9003,611,39,8354,8593,3891167,2667390,618692,422645,196047,605085,5208,599877,107855,76474,31381,857,30524,36078,34880,19653
"Baldwin, AL",2017,5578263,1938254,122971,6809,1808474,1855948,212628,44079,26235,9116,578,32,8505,8729,4139608,2817342,649866,443572,206294,672400,8331,664069,110457,78525,31932,848,31084,37477,35878,21364
"Bay County, FL",2001,2407072,670970,55225,10839,604906,931983,150207,26697,16025,4467,368,72,4027,6205,2767625,1976890,469892,330047,139845,320843,610,320233,84003,69972,14031,114,13917,32947,28253,23010
"Bay County, FL",2002,2607382,739816,60719,16265,662832,890813,152741,27746,17071,4844,398,106,4340,5832,2998538,2119474,535194,385238,149956,343870,459,343411,85801,71496,14305,111,14194,34948,29645,24194
"Bay County, FL",2003,2819867,794250,67624,15684,710942,927026,155044,29289,18188,5123,436,101,4585,5979,3239370,2285042,598616,436063,162553,355712,264,355448,87915,73280,14635,107,14528,36847,31182,24466
"Bay County, FL",2004,3033278,849977,77287,9929,762761,1013363,158804,30834,19101,5352,487,63,4803,6381,3497390,2486360,651958,472230,179728,359072,178,358894,93082,77502,15580,104,15476,37573,32081,23190
"Bay County, FL",2005,3309245,910204,93594,8226,808384,1092419,162917,32605,20312,5587,574,50,4962,6705,3834420,2735598,716112,518486,197626,382710,205,382505,97038,80511,16527,104,16423,39515,33978,23291
"Bay County, FL",2006,3553607,961382,89690,8207,863485,1191678,165644,34451,21453,5804,541,50,5213,7194,4118033,2947041,725899,508714,217185,445093,59,445034,100143,83013,17130,101,17029,41122,35501,26134
"Bay County, FL",2007,3528582,1017523,89567,9858,918098,1351846,165345,35671,21341,6154,542,60,5553,8176,4086851,2982734,742797,525898,216899,361320,65,361255,100794,82430,18364,120,18244,40547,36185,19801
"Bay County, FL",2008,3543208,1159220,100811,18528,1039881,1395098,166267,36673,21310,6972,606,111,6254,8391,4103972,2988025,763891,546114,217777,352056,-66,352122,99109,81267,17842,113,17729,41409,36768,19861
"Bay County, FL",2009,3424220,1263422,121384,48161,1093877,1235927,167464,35372,20447,7544,725,288,6532,7380,3978507,2918768,751560,534015,217545,308179,-56,308235,96101,78081,18020,109,17911,41399,37381,17209
"Bay County, FL",2010,3532153,1424918,141477,52933,1230508,1267804,169207,36789,20875,8421,836,313,7272,7493,4104614,2987129,799598,571998,227600,317887,-29,317916,95619,77471,18148,105,18043,42927,38558,17620
"Bay County, FL",2011,3569879,1473075,143154,42178,1287743,1359443,169521,37768,21059,8690,844,249,7596,8019,4079017,3001097,776266,543694,232572,301654,-69,301723,96586,77704,18882,101,18781,42232,38622,16065
"Bay County, FL",2012,3624304,1441968,148037,30056,1263875,1363716,171755,37437,21102,8395,862,175,7359,7940,4130940,3008839,780162,540633,239529,341939,-82,342021,96974,78217,18757,97,18660,42598,38468,18329
"Bay County, FL",2013,3680166,1485086,153040,21066,1310980,1356403,174626,37346,21075,8504,876,121,7507,7767,4229494,3080377,805636,563975,241661,343481,-69,343550,98845,79440,19405,97,19308,42789,38776,17793
"Bay County, FL",2014,3893469,1578583,153687,12126,1412770,1457520,178221,38882,21846,8857,862,68,7927,8178,4487884,3286487,837666,581234,256432,363731,-56,363787,102764,82356,20408,97,20311,43672,39906,17911
"Bay County, FL",2015,4105096,1651331,152436,6857,1492038,1586217,181184,40526,22657,9114,841,38,8235,8755,4730122,3460203,882889,620159,262730,387030,-60,387090,105201,84779,20422,94,20328,44963,40814,19042
"Bay County, FL",2016,4193713,1715958,144771,5258,1565929,1652915,182992,41327,22917,9377,791,29,8557,9033,4868275,3594470,883898,617070,266828,389907,-60,389967,107042,85950,21092,94,20998,45480,41820,18572
"Bay County, FL",2017,4277056,1795474,151678,4992,1638804,1724445,183563,42476,23300,9781,826,27,8928,9394,4968070,3659824,898679,629411,269268,409567,-59,409626,107591,86113,21478,94,21384,46176,42500,19156
"Calcasieu, LA",2001,2938043,802082,73911,9890,718281,762393,183296,24564,16029,4376,403,54,3919,4159,3510565,2636138,662996,486095,176901,211431,2830,208601,102944,88344,14600,894,13706,34102,29839,15220
"Calcasieu, LA",2002,3006887,837694,87677,15704,734313,755472,183487,25070,16387,4565,478,86,4002,4117,3612062,2716452,671939,488354,183585,223671,-480,224151,103511,88689,14822,767,14055,34895,30629,15948
"Calcasieu, LA",2003,3052979,855491,93103,16976,745412,710190,184701,25006,16529,4632,504,92,4036,3845,3655579,2737500,703859,519031,184828,214220,2289,211931,103169,87576,15593,748,14845,35433,31259,14276
"Calcasieu, LA",2004,3222249,932819,102535,12836,817448,689793,185593,26105,17362,5026,552,69,4405,3717,3874886,2853926,731726,542361,189365,289234,2718,286516,102337,87126,15211,730,14481,37864,32756,19786
"Calcasieu, LA",2005,3462041,1094781,176605,22792,895384,733765,186417,28380,18571,5873,947,122,4803,3936,4174365,3071776,780512,584749,195763,322077,-141,322218,104860,89117,15743,732,15011,39809,34469,21465
"Calcasieu, LA",2006,3736646,1046756,105885,13283,927588,963348,185350,31005,20160,5647,571,72,5005,5197,4483240,3262042,839226,632191,207035,381972,101,381871,107345,89549,17796,722,17074,41765,36427,22366
"Calcasieu, LA",2007,3928813,1090371,114411,8259,967701,1308127,187081,33821,21001,5828,612,44,5173,6992,4706934,3472500,849549,631277,218272,384885,-1111,385996,109153,91597,17556,815,16741,43122,37911,23057
"Calcasieu, LA",2008,4208833,1250304,139256,11102,1099946,1282061,188928,35681,22277,6618,737,59,5822,6786,5042614,3761103,901718,670138,231580,379793,-1108,380901,111404,92990,18414,806,17608,45264,40446,21632
"Calcasieu, LA",2009,4101474,1317865,142831,29397,1145637,1048818,191080,33851,21465,6897,747,154,5996,5489,4879936,3576006,906062,681608,224454,397868,1142,396726,108791,89772,19019,801,18218,44856,39834,21777
"Calcasieu, LA",2010,4201435,1417954,162191,36194,1219569,1028343,193036,34438,21765,7346,840,187,6318,5327,4962508,3520328,958765,735390,223375,483415,3113,480302,106982,87477,19505,790,18715,46386,40243,25664
"Calcasieu, LA",2011,4383465,1447295,168166,26489,1252640,1119319,193813,35860,22617,7467,868,137,6463,5775,5130085,3681600,928257,689233,239024,520228,3006,517222,108662,88128,20534,782,19752,47211,41776,26186
"Calcasieu, LA",2012,4634021,1496146,176120,19442,1300584,1233609,194506,37859,23825,7692,905,100,6687,6342,5402154,3862399,968597,720583,248014,571158,6753,564405,110879,89916,20963,769,20194,48721,42956,27949
"Calcasieu, LA",2013,4785229,1544937,172865,12493,1359579,1158500,195506,38304,24476,7902,884,64,6954,5926,5702460,3993338,1019105,759007,260098,690017,13537,676480,113515,91736,21779,753,21026,50235,43531,32173
"Calcasieu, LA",2014,5313247,1548143,171319,8573,1368251,1226106,196641,41128,27020,7873,871,44,6958,6235,6258510,4318354,1118987,837420,281567,821169,11164,810005,116398,94086,22312,751,21561,53768,45898,37568
"Calcasieu, LA",2015,5657412,1710427,169751,10315,1530361,1305715,198542,43686,28495,8615,855,52,7708,6577,6638934,4613121,1186544,883907,302637,839269,3938,835331,120570,97663,22907,744,22163,55063,47235,37690
"Calcasieu, LA",2016,5858677,1807217,179395,11149,1616673,1277788,200632,44578,29201,9008,894,56,8058,6369,6833615,4819057,1231784,918456,313328,782774,1791,780983,122738,100212,22526,743,21783,55676,48089,35853
"Calcasieu, LA",2017,6192557,1890392,166186,8959,1715247,1329013,202445,46491,30589,9338,821,44,8473,6565,7241909,5153194,1305881,972796,333085,782834,3076,779758,127360,104443,22917,731,22186,56862,49340,35146
"Calhoun, TX",2001,303096,84770,7730,2723,74317,70788,20762,22091,14599,4083,372,131,3579,3409,593022,434345,105447,75531,29916,53230,9642,43588,13368,10928,2440,338,2102,44361,39746,20736
"Calhoun, TX",2002,291366,91466,8699,3377,79390,66203,20550,21851,14178,4451,423,164,3863,3222,557919,406480,100345,73404,26941,51094,2864,48230,12417,9934,2483,329,2154,44932,40918,22391
"Calhoun, TX",2003,298148,94618,9783,2804,82031,68010,20575,22395,14491,4599,475,136,3987,3305,545821,389242,97555,70436,27119,59024,16273,42751,12153,9771,2382,299,2083,44912,39836,20524
"Calhoun, TX",2004,292104,102834,10282,1873,90679,57766,20692,21878,14117,4970,497,91,4382,2792,547894,407347,99951,71851,28100,40596,14301,26295,12078,9593,2485,281,2204,45363,42463,11931
"Calhoun, TX",2005,315553,112357,11845,1265,99247,60484,20715,23577,15233,5424,572,61,4791,2920,593164,442930,107924,77951,29973,42310,12568,29742,12438,9933,2505,269,2236,47690,44592,13301
"Calhoun, TX",2006,345655,118289,11901,999,105389,59960,20839,25141,16587,5676,571,48,5057,2877,621409,462352,109872,79080,30792,49185,8570,40615,12444,9971,2473,252,2221,49936,46370,18287
"Calhoun, TX",2007,382007,127987,12180,1025,114782,72810,20888,27901,18288,6127,583,49,5495,3486,679846,504561,115489,82520,32969,59796,1607,58189,12850,10251,2599,259,2340,52906,49221,24867
"Calhoun, TX",2008,425524,142101,13232,1569,127300,91303,21127,31189,20141,6726,626,74,6025,4322,716128,520081,118169,85765,32404,77878,-596,78474,12744,10234,2510,253,2257,56193,50819,34769
"Calhoun, TX",2009,364487,155550,15603,5442,134505,80215,21388,28065,17042,7273,730,254,6289,3750,625193,469518,114908,84287,30621,40767,-4516,45283,12346,9913,2433,247,2186,50639,47364,20715
"Calhoun, TX",2010,391209,168339,17932,6168,144239,78052,21311,29919,18357,7899,841,289,6768,3663,683241,506826,127123,91455,35668,49292,6849,42443,12503,10033,2470,243,2227,54646,50516,19058
"Calhoun, TX",2011,440423,176377,18072,5329,152976,93884,21356,33278,20623,8259,846,250,7163,4396,771837,558508,136295,96948,39347,77034,389,76645,13005,10540,2465,237,2228,59349,52989,34401
"Calhoun, TX",2012,472805,168938,17452,3978,147508,100921,21575,34422,21914,7830,809,184,6837,4678,796742,564458,137553,98096,39457,94731,-3685,98416,12752,10238,2514,232,2282,62480,55134,43127
"Calhoun, TX",2013,530833,175843,17402,2952,155489,106696,21735,37422,24423,8090,801,136,7154,4909,890750,605446,150631,108282,42349,134673,1778,132895,13236,10659,2577,237,2340,67298,56801,56793
"Calhoun, TX",2014,500372,188673,17389,1867,169417,114539,21805,36853,22948,8653,797,86,7770,5253,888417,650688,159938,115318,44620,77791,-7438,85229,13483,10890,2593,234,2359,65892,59751,36129
"Calhoun, TX",2015,495360,200302,17385,2606,180311,114183,21881,37011,22639,9154,795,119,8241,5218,927516,709669,174408,125076,49332,43439,-5469,48908,14104,11631,2473,237,2236,65763,61015,21873
"Calhoun, TX",2016,464674,211150,17766,3834,189550,110237,21942,35824,21177,9623,810,175,8639,5024,897977,704533,170608,121565,49043,22836,-8627,31463,13770,11387,2383,236,2147,65213,61872,14654
"Calhoun, TX",2017,463599,217734,21356,2553,193825,114204,21744,36587,21321,10014,982,117,8914,5252,889989,701817,170190,122940,47250,17982,-5855,23837,13467,11042,2425,235,2190,66087,63559,10884
"Chambers, TX",2001,554329,78289,7926,1565,68798,110029,26811,27699,20675,2920,296,58,2566,4104,363299,265991,64267,46475,17792,33041,10291,22750,9970,7524,2446,603,1843,36439,35352,12344
"Chambers, TX",2002,553165,84512,8720,2334,73458,104250,27490,26989,20122,3074,317,85,2672,3792,394015,289899,70713,51583,19130,33403,10125,23278,10419,8035,2384,592,1792,37817,36080,12990
"Chambers, TX",2003,577964,94722,10207,3365,81150,107057,28021,27827,20626,3380,364,120,2896,3821,456038,335523,81543,58843,22700,38972,15694,23278,10845,8428,2417,571,1846,42051,39811,12610
"Chambers, TX",2004,634783,105687,10957,2208,92522,110150,28749,29588,22080,3676,381,77,3218,3831,482211,355342,86562,62644,23918,40307,15822,24485,11541,9029,2512,554,1958,41782,39356,12505
"Chambers, TX",2005,673491,122988,14222,1938,106828,103244,29388,30615,22917,4185,484,66,3635,3513,521738,394665,91261,64496,26765,35812,8329,27483,12390,9745,2645,555,2090,42110,40499,13150
"Chambers, TX",2006,752497,128183,13719,1519,112945,105562,29980,32897,25100,4276,458,51,3767,3521,609205,469495,104403,73831,30572,35307,6567,28740,13908,11253,2655,541,2114,43802,41722,13595
"Chambers, TX",2007,816206,140586,12976,1565,126045,120257,30714,35067,26574,4577,422,51,4104,3915,643433,510177,109439,76656,32783,23817,560,23257,13878,11713,2165,576,1589,46364,43556,14636
"Chambers, TX",2008,896136,163708,12615,2791,148302,144249,31619,38081,28342,5178,399,88,4690,4562,659901,519407,112083,79703,32380,28411,-984,29395,15320,11974,3346,594,2752,43074,43378,10681
"Chambers, TX",2009,928404,183027,14601,9326,159100,153526,34230,36955,27123,5347,427,272,4648,4485,631109,486852,111900,80549,31351,32357,-6365,38722,14959,11205,3754,615,3139,42189,43450,12336
"Chambers, TX",2010,1032679,205678,17142,10971,177565,150528,35445,39184,29135,5803,484,310,5010,4247,674083,504656,117627,84122,33505,51800,-7100,58900,14853,11145,3708,639,3069,45384,45281,19192
"Chambers, TX",2011,1139757,216750,18114,8661,189975,162268,35683,42563,31941,6074,508,243,5324,4547,773419,574214,127139,87369,39770,72066,-1229,73295,16215,12217,3998,661,3337,47698,47001,21964
"Chambers, TX",2012,1229014,216459,18420,7319,190720,183797,36489,44651,33682,5932,505,201,5227,5037,911604,683349,147752,100422,47330,80503,276,80227,17717,13561,4156,673,3483,51454,50391,23034
"Chambers, TX",2013,1330168,219019,18715,5490,194814,186975,37350,46484,35614,5864,501,147,5216,5006,1008633,749030,165319,113636,51683,94284,7735,86549,18327,13932,4395,680,3715,55035,53763,23297
"Chambers, TX",2014,1432653,231374,18884,3399,209091,210506,38283,48965,37423,6044,493,89,5462,5499,954037,690292,154043,108328,45715,109702,8573,101129,17546,13102,4444,671,3773,54373,52686,26803
"Chambers, TX",2015,1523285,250898,18578,4491,227829,219243,39059,51036,39000,6424,476,115,5833,5613,1049528,780213,176257,124062,52195,93058,2153,90905,18894,14357,4537,664,3873,55548,54344,23471
"Chambers, TX",2016,1585457,265667,19094,5350,241223,221901,40283,51462,39358,6595,474,133,5988,5509,1106722,838279,185917,128469,57448,82526,2810,79716,19176,14484,4692,661,4031,57714,57876,19776
"Chambers, TX",2017,1636855,279296,23928,5026,250342,231830,41441,51832,39498,6740,577,121,6041,5594,1173473,900444,198905,138520,60385,74124,6122,68002,19599,14826,4773,657,4116,59874,60734,16521
"Charlotte, FL",2001,1616125,943242,25423,6672,911147,1316736,146311,26492,11046,6447,174,46,6227,9000,1624680,1103201,246037,169309,76728,275442,2306,273136,55287,42471,12816,266,12550,29386,25975,21764
"Charlotte, FL",2002,1738341,994772,29046,12132,953594,1187166,150123,26114,11579,6626,193,81,6352,7908,1704469,1141190,266280,186407,79873,296999,4823,292176,54855,41248,13607,252,13355,31072,27667,21878
"Charlotte, FL",2003,1858498,1045970,33625,11859,1000486,1195057,153235,26753,12128,6826,219,77,6529,7799,1779488,1192560,286414,203310,83104,300514,5298,295216,55225,41249,13976,230,13746,32223,28911,21477
"Charlotte, FL",2004,1966080,1168307,74153,9112,1085042,1356452,157755,28467,12463,7406,470,58,6878,8598,1912126,1320675,314748,221373,93375,276703,6061,270642,57451,42834,14617,209,14408,33283,30832,18784
"Charlotte, FL",2005,2184238,1156936,44384,4863,1107689,1446410,155262,30836,14068,7452,286,31,7134,9316,2075407,1459269,344366,241442,102924,271772,14006,257766,59929,44433,15496,193,15303,34631,32842,16844
"Charlotte, FL",2006,2357024,1253105,44554,5237,1203314,1567865,157099,32960,15003,7977,284,33,7660,9980,2250039,1625603,361819,244721,117098,262617,16536,246081,64678,48886,15792,174,15618,34788,33253,15756
"Charlotte, FL",2007,2308615,1335438,47738,12345,1275355,1747074,159742,33749,14452,8360,299,77,7984,10937,2195419,1604860,365778,251830,113948,224781,11027,213754,64346,47494,16852,190,16662,34119,33791,12829
"Charlotte, FL",2008,2112061,1497387,55800,23526,1418061,1727706,160467,33260,13162,9331,348,147,8837,10767,2087293,1547374,364544,254350,110194,175375,12848,162527,61774,45085,16689,195,16494,33789,34321,9854
"Charlotte, FL",2009,1971747,1633113,70789,50837,1511487,1415222,159629,31448,12352,10231,443,318,9469,8866,1977790,1448619,344439,239425,105014,184732,21358,163374,59476,42616,16860,202,16658,33254,33992,9808
"Charlotte, FL",2010,1982574,1751014,83290,51036,1616688,1395974,159869,32086,12401,10953,521,319,10113,8732,2067459,1459959,364745,256985,107760,242755,32336,210419,59627,42986,16641,209,16432,34673,33964,12805
"Charlotte, FL",2011,2020550,1805072,89837,29717,1685518,1532701,159881,33514,12638,11290,562,186,10542,9587,2128854,1503032,351580,238637,112943,274242,33952,240290,60926,43616,17310,215,17095,34942,34461,14056
